"","cat","word","n","date","institution","tf","idf","tf_idf"
"179","Learnings","cfa",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"180","Learnings","nshareaction",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"181","Learnings","plant",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"182","Learnings","retrospectively",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"183","Learnings","rice",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"184","Learnings","syrian",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"185","Learnings","tana",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"186","Learnings","agro",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"187","Learnings","emergency",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"188","Learnings","expenditures",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"189","Learnings","hosts",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"190","Learnings","logic",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"191","Learnings","np",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"192","Learnings","revenues",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"193","Learnings","secure",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"194","Learnings","semi",30,2024-01-20,"IKEA Foundation ",0.000236850831346418,0.693147180559945,0.000164172485961049
"195","Grants","deeply",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"196","Grants","fpo",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"197","Grants","gvo",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"198","Grants","handicraft",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"199","Grants","het",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"200","Grants","lakh",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"201","Grants","undp",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"202","Grants","womenifesto",9,2024-01-20,"IKEA Foundation ",0.000232889118902833,0.693147180559945,0.000161426436150589
"203","Learnings","debt",29,2024-01-20,"IKEA Foundation ",0.000228955803634871,0.693147180559945,0.000158700069762347
"204","Learnings","fcs",29,2024-01-20,"IKEA Foundation ",0.000228955803634871,0.693147180559945,0.000158700069762347
"205","Learnings","extreme",28,2024-01-20,"IKEA Foundation ",0.000221060775923323,0.693147180559945,0.000153227653563646
"206","Learnings","journal",28,2024-01-20,"IKEA Foundation ",0.000221060775923323,0.693147180559945,0.000153227653563646
"207","Learnings","remote",28,2024-01-20,"IKEA Foundation ",0.000221060775923323,0.693147180559945,0.000153227653563646
"208","Learnings","shareholder",28,2024-01-20,"IKEA Foundation ",0.000221060775923323,0.693147180559945,0.000153227653563646
"209","Learnings","weather",28,2024-01-20,"IKEA Foundation ",0.000221060775923323,0.693147180559945,0.000153227653563646
"210","Learnings","cahw",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"211","Learnings","cultivated",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"212","Learnings","cultivation",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"213","Learnings","dedebit",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"214","Learnings","nwhat",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"215","Learnings","programming",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"216","Learnings","rainfall",27,2024-01-20,"IKEA Foundation ",0.000213165748211776,0.693147180559945,0.000147755237364944
"217","Grants","avg",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"218","Grants","behavioural",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"219","Grants","belgium",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"220","Grants","cis",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"221","Grants","conformity",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"222","Grants","counselled",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"223","Grants","handloom",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"224","Grants","inr",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"225","Grants","methode",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
