,cat,word,n,date,institution,tf,idf,tf_idf
192,About,religion,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
193,About,reprisal,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
194,About,safeguard,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
195,About,safely,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
196,About,standpoint,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
197,About,strives,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
198,About,unauthorised,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
199,About,unethical,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
200,About,violate,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
201,About,violation,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
202,About,willpower,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
203,Learnings,shareaction,297,1/18/2024,IKEA Foundation ,0.002344823,0.405465108,0.000950744
204,Learnings,targets,297,1/18/2024,IKEA Foundation ,0.002344823,0.405465108,0.000950744
205,Learnings,income,296,1/18/2024,IKEA Foundation ,0.002336928,0.405465108,0.000947543
206,Learnings,buramino,108,1/18/2024,IKEA Foundation ,0.000852663,1.098612289,0.000936746
207,Grants,beneficiaries,89,1/18/2024,IKEA Foundation ,0.002303015,0.405465108,0.000933792
208,Grants,high,89,1/18/2024,IKEA Foundation ,0.002303015,0.405465108,0.000933792
209,Learnings,management,290,1/18/2024,IKEA Foundation ,0.002289558,0.405465108,0.000928336
210,Grants,findings,88,1/18/2024,IKEA Foundation ,0.002277138,0.405465108,0.0009233
211,Learnings,community,287,1/18/2024,IKEA Foundation ,0.002265873,0.405465108,0.000918732
212,Grants,ambition,87,1/18/2024,IKEA Foundation ,0.002251261,0.405465108,0.000912808
213,Grants,certificate,87,1/18/2024,IKEA Foundation ,0.002251261,0.405465108,0.000912808
214,Grants,study,87,1/18/2024,IKEA Foundation ,0.002251261,0.405465108,0.000912808
215,Grants,system,87,1/18/2024,IKEA Foundation ,0.002251261,0.405465108,0.000912808
216,Grants,training,87,1/18/2024,IKEA Foundation ,0.002251261,0.405465108,0.000912808
217,Learnings,government,284,1/18/2024,IKEA Foundation ,0.002242188,0.405465108,0.000909129
218,Grants,support,86,1/18/2024,IKEA Foundation ,0.002225385,0.405465108,0.000902316
219,Learnings,initiative,279,1/18/2024,IKEA Foundation ,0.002202713,0.405465108,0.000893123
220,Learnings,women,279,1/18/2024,IKEA Foundation ,0.002202713,0.405465108,0.000893123
221,Grants,large,85,1/18/2024,IKEA Foundation ,0.002199508,0.405465108,0.000891824
222,Grants,procurement,84,1/18/2024,IKEA Foundation ,0.002173632,0.405465108,0.000881332
223,Grants,respondents,84,1/18/2024,IKEA Foundation ,0.002173632,0.405465108,0.000881332
224,Grants,gpp,31,1/18/2024,IKEA Foundation ,0.000802174,1.098612289,0.000881278
225,Grants,additionality,83,1/18/2024,IKEA Foundation ,0.002147755,0.405465108,0.00087084
226,Learnings,team,272,1/18/2024,IKEA Foundation ,0.002147448,0.405465108,0.000870715
227,Learnings,household,271,1/18/2024,IKEA Foundation ,0.002139553,0.405465108,0.000867514
228,Grants,governance,82,1/18/2024,IKEA Foundation ,0.002121879,0.405465108,0.000860348
229,Grants,placement,30,1/18/2024,IKEA Foundation ,0.000776297,1.098612289,0.000852849
230,Learnings,stakeholders,266,1/18/2024,IKEA Foundation ,0.002100077,0.405465108,0.000851508
231,Learnings,training,265,1/18/2024,IKEA Foundation ,0.002092182,0.405465108,0.000848307
232,Grants,group,80,1/18/2024,IKEA Foundation ,0.002070126,0.405465108,0.000839364
233,Grants,number,80,1/18/2024,IKEA Foundation ,0.002070126,0.405465108,0.000839364
234,Grants,strategy,80,1/18/2024,IKEA Foundation ,0.002070126,0.405465108,0.000839364
235,Learnings,number,259,1/18/2024,IKEA Foundation ,0.002044812,0.405465108,0.0008291
236,Grants,rs,29,1/18/2024,IKEA Foundation ,0.00075042,1.098612289,0.000824421
237,Learnings,livestock,254,1/18/2024,IKEA Foundation ,0.002005337,0.405465108,0.000813094
238,Grants,certified,77,1/18/2024,IKEA Foundation ,0.001992496,0.405465108,0.000807888
239,Learnings,tree,93,1/18/2024,IKEA Foundation ,0.000734238,1.098612289,0.000806642
240,Grants,results,76,1/18/2024,IKEA Foundation ,0.001966619,0.405465108,0.000797395
241,Grants,specific,76,1/18/2024,IKEA Foundation ,0.001966619,0.405465108,0.000797395
242,Grants,utrecht,28,1/18/2024,IKEA Foundation ,0.000724544,1.098612289,0.000795993
243,Grants,construction,75,1/18/2024,IKEA Foundation ,0.001940743,0.405465108,0.000786903
244,Grants,literature,74,1/18/2024,IKEA Foundation ,0.001914866,0.405465108,0.000776411
245,Learnings,survey,240,1/18/2024,IKEA Foundation ,0.001894807,0.405465108,0.000768278
246,Grants,commitments,73,1/18/2024,IKEA Foundation ,0.00188899,0.405465108,0.000765919
247,Learnings,groups,239,1/18/2024,IKEA Foundation ,0.001886912,0.405465108,0.000765077
248,Learnings,interview,238,1/18/2024,IKEA Foundation ,0.001879017,0.405465108,0.000761876
249,Learnings,services,237,1/18/2024,IKEA Foundation ,0.001871122,0.405465108,0.000758675
250,Learnings,target,237,1/18/2024,IKEA Foundation ,0.001871122,0.405465108,0.000758675
251,Learnings,food,236,1/18/2024,IKEA Foundation ,0.001863227,0.405465108,0.000755473
252,Learnings,market,236,1/18/2024,IKEA Foundation ,0.001863227,0.405465108,0.000755473
253,Grants,strong,72,1/18/2024,IKEA Foundation ,0.001863113,0.405465108,0.000755427
254,Grants,additional,71,1/18/2024,IKEA Foundation ,0.001837236,0.405465108,0.000744935
255,Grants,advocacy,71,1/18/2024,IKEA Foundation ,0.001837236,0.405465108,0.000744935
256,Grants,shows,71,1/18/2024,IKEA Foundation ,0.001837236,0.405465108,0.000744935
257,Learnings,host,231,1/18/2024,IKEA Foundation ,0.001823751,0.405465108,0.000739468
258,Grants,delft,70,1/18/2024,IKEA Foundation ,0.00181136,0.405465108,0.000734443
